seed,hw,area,graph,method,makespan
0,0.3,0.9,resnet,random,18629.163527484412
0,0.3,0.9,resnet,shade,18629.163527484412
0,0.3,0.9,squeezenet,ccpso,9466.81381582347
0,0.3,0.9,squeezenet,clpso,9466.81381582347
0,0.3,0.9,squeezenet,esa,9466.81381582347
0,0.3,0.9,squeezenet,gl25,2876.356629342461
0,0.3,0.9,squeezenet,greedy,5666.85123337881
0,0.3,0.9,squeezenet,jade,7804.989018405729
0,0.3,0.9,squeezenet,random,9466.81381582347
0,0.3,0.9,squeezenet,shade,8417.018583457995
0,0.5,0.1,resnet,ccpso,18629.163527484412
0,0.5,0.1,resnet,clpso,18629.163527484412
0,0.5,0.1,resnet,esa,18629.163527484412
0,0.5,0.1,resnet,gl25,18629.163527484412
0,0.5,0.1,resnet,greedy,23312.421730945927
0,0.5,0.1,resnet,jade,18629.163527484412
0,0.5,0.1,resnet,random,18629.163527484412
0,0.5,0.1,resnet,shade,18629.163527484412
0,0.5,0.1,squeezenet,ccpso,9466.81381582347
0,0.5,0.1,squeezenet,clpso,9466.81381582347
0,0.5,0.1,squeezenet,esa,9466.81381582347
0,0.5,0.1,squeezenet,gl25,9466.81381582347
0,0.5,0.1,squeezenet,greedy,12740.172547732916
0,0.5,0.1,squeezenet,jade,9466.81381582347
0,0.5,0.1,squeezenet,random,9466.81381582347
0,0.5,0.1,squeezenet,shade,9466.81381582347
0,0.5,0.3,resnet,ccpso,18629.163527484412
0,0.5,0.3,resnet,clpso,18629.163527484412
0,0.5,0.3,resnet,esa,18629.163527484412
0,0.5,0.3,resnet,gl25,18629.163527484412
0,0.5,0.3,resnet,greedy,23087.65196686234
0,0.5,0.3,resnet,jade,18629.163527484412
0,0.5,0.3,resnet,random,18629.163527484412
0,0.5,0.3,resnet,shade,18629.163527484412
0,0.5,0.3,squeezenet,ccpso,9466.81381582347
0,0.5,0.3,squeezenet,clpso,9466.81381582347
0,0.5,0.3,squeezenet,esa,9466.81381582347
0,0.5,0.3,squeezenet,gl25,9466.81381582347
0,0.5,0.3,squeezenet,greedy,13909.610538451901
0,0.5,0.3,squeezenet,jade,9466.81381582347
0,0.5,0.3,squeezenet,random,9466.81381582347
0,0.5,0.3,squeezenet,shade,9466.81381582347
0,0.5,0.5,resnet,ccpso,18629.163527484412
