,hw,area,graph,method,mean_makespan,std_makespan
146,0.3,0.9,resnet,esa,18418.485044850837,224.13603035577083
147,0.3,0.9,resnet,gl25,9611.70927250143,419.43035674519535
148,0.3,0.9,resnet,greedy,9211.404858539603,1277.6367228934932
149,0.3,0.9,resnet,jade,18418.485044850837,224.13603035577083
150,0.3,0.9,resnet,random,18418.485044850837,224.13603035577083
151,0.3,0.9,resnet,shade,18418.485044850837,224.13603035577083
152,0.3,0.9,squeezenet,ccpso,9098.235152160398,306.4950657866547
153,0.3,0.9,squeezenet,clpso,9098.235152160398,306.4950657866547
154,0.3,0.9,squeezenet,esa,9098.235152160398,306.4950657866547
155,0.3,0.9,squeezenet,gl25,3249.453496516745,347.37215328495085
156,0.3,0.9,squeezenet,greedy,6238.747077130311,591.9417723802458
157,0.3,0.9,squeezenet,jade,7892.112369546662,366.9675251208789
158,0.3,0.9,squeezenet,random,9098.235152160398,306.4950657866547
159,0.3,0.9,squeezenet,shade,8835.786344069029,333.9191273084916
160,0.5,0.1,resnet,ccpso,18418.485044850837,224.13603035577083
161,0.5,0.1,resnet,clpso,18418.485044850837,224.13603035577083
162,0.5,0.1,resnet,esa,18418.485044850837,224.13603035577083
163,0.5,0.1,resnet,gl25,18418.485044850837,224.13603035577083
164,0.5,0.1,resnet,greedy,21230.256876171672,1568.2107518437297
165,0.5,0.1,resnet,jade,18418.485044850837,224.13603035577083
166,0.5,0.1,resnet,random,18418.485044850837,224.13603035577083
167,0.5,0.1,resnet,shade,18418.485044850837,224.13603035577083
168,0.5,0.1,squeezenet,ccpso,9098.235152160398,306.4950657866547
169,0.5,0.1,squeezenet,clpso,9098.235152160398,306.4950657866547
170,0.5,0.1,squeezenet,esa,9098.235152160398,306.4950657866547
171,0.5,0.1,squeezenet,gl25,9098.235152160398,306.4950657866547
172,0.5,0.1,squeezenet,greedy,11126.476482312793,1082.8233642595576
173,0.5,0.1,squeezenet,jade,9098.235152160398,306.4950657866547
174,0.5,0.1,squeezenet,random,9098.235152160398,306.4950657866547
175,0.5,0.1,squeezenet,shade,9098.235152160398,306.4950657866547
176,0.5,0.3,resnet,ccpso,18418.485044850837,224.13603035577083
177,0.5,0.3,resnet,clpso,18418.485044850837,224.13603035577083
178,0.5,0.3,resnet,esa,18418.485044850837,224.13603035577083
179,0.5,0.3,resnet,gl25,18418.485044850837,224.13603035577083
180,0.5,0.3,resnet,greedy,23262.446220102807,783.9426476906426
181,0.5,0.3,resnet,jade,18418.485044850837,224.13603035577083
182,0.5,0.3,resnet,random,18418.485044850837,224.13603035577083
183,0.5,0.3,resnet,shade,18418.485044850837,224.13603035577083
184,0.5,0.3,squeezenet,ccpso,9098.235152160398,306.4950657866547
185,0.5,0.3,squeezenet,clpso,9098.235152160398,306.4950657866547
186,0.5,0.3,squeezenet,esa,9098.235152160398,306.4950657866547
187,0.5,0.3,squeezenet,gl25,9098.235152160398,306.4950657866547
188,0.5,0.3,squeezenet,greedy,13318.669787350085,431.28417233618035
189,0.5,0.3,squeezenet,jade,9098.235152160398,306.4950657866547
190,0.5,0.3,squeezenet,random,9098.235152160398,306.4950657866547
191,0.5,0.3,squeezenet,shade,9098.235152160398,306.4950657866547
192,0.5,0.5,resnet,ccpso,18418.485044850837,224.13603035577083
193,0.5,0.5,resnet,clpso,18418.485044850837,224.13603035577083
194,0.5,0.5,resnet,esa,18418.485044850837,224.13603035577083
195,0.5,0.5,resnet,gl25,17550.217192794018,1423.3802284422436
196,0.5,0.5,resnet,greedy,24310.55050240481,1461.5871394381893
197,0.5,0.5,resnet,jade,18418.485044850837,224.13603035577083
198,0.5,0.5,resnet,random,18418.485044850837,224.13603035577083
199,0.5,0.5,resnet,shade,18418.485044850837,224.13603035577083
200,0.5,0.5,squeezenet,ccpso,9098.235152160398,306.4950657866547
201,0.5,0.5,squeezenet,clpso,9098.235152160398,306.4950657866547
202,0.5,0.5,squeezenet,esa,8870.991598943536,277.75064622333394
203,0.5,0.5,squeezenet,gl25,8661.703798990047,653.5452040665203
204,0.5,0.5,squeezenet,greedy,12895.2400568851,826.6307987756196
205,0.5,0.5,squeezenet,jade,9098.235152160398,306.4950657866547
206,0.5,0.5,squeezenet,random,9098.235152160398,306.4950657866547
207,0.5,0.5,squeezenet,shade,9098.235152160398,306.4950657866547
208,0.5,0.7,resnet,ccpso,18418.485044850837,224.13603035577083
209,0.5,0.7,resnet,clpso,18418.485044850837,224.13603035577083
210,0.5,0.7,resnet,esa,18418.485044850837,224.13603035577083
211,0.5,0.7,resnet,gl25,14049.898696485114,1517.7744132109613
212,0.5,0.7,resnet,greedy,20981.368596463402,2256.72972182484
213,0.5,0.7,resnet,jade,18418.485044850837,224.13603035577083
214,0.5,0.7,resnet,random,18418.485044850837,224.13603035577083
215,0.5,0.7,resnet,shade,18418.485044850837,224.13603035577083
216,0.5,0.7,squeezenet,ccpso,9098.235152160398,306.4950657866547
217,0.5,0.7,squeezenet,clpso,9098.235152160398,306.4950657866547
218,0.5,0.7,squeezenet,esa,9098.235152160398,306.4950657866547
219,0.5,0.7,squeezenet,gl25,6677.201756416355,966.7150429752603
220,0.5,0.7,squeezenet,greedy,11189.074576055638,1047.3495926077928
221,0.5,0.7,squeezenet,jade,8910.208939609789,224.82908625884284
222,0.5,0.7,squeezenet,random,9098.235152160398,306.4950657866547
223,0.5,0.7,squeezenet,shade,8997.474240954454,188.4535617114907
224,0.5,0.9,resnet,ccpso,18418.485044850837,224.13603035577083
225,0.5,0.9,resnet,clpso,18418.485044850837,224.13603035577083
226,0.5,0.9,resnet,esa,18418.485044850837,224.13603035577083
227,0.5,0.9,resnet,gl25,11281.595051649441,460.79029455622407
228,0.5,0.9,resnet,greedy,8872.722657058333,1193.4264356551712
229,0.5,0.9,resnet,jade,18418.485044850837,224.13603035577083
230,0.5,0.9,resnet,random,18418.485044850837,224.13603035577083
231,0.5,0.9,resnet,shade,18418.485044850837,224.13603035577083
232,0.5,0.9,squeezenet,ccpso,9098.235152160398,306.4950657866547
233,0.5,0.9,squeezenet,clpso,9098.235152160398,306.4950657866547
234,0.5,0.9,squeezenet,esa,9098.235152160398,306.4950657866547
235,0.5,0.9,squeezenet,gl25,4277.5197082397235,326.7808785301767
236,0.5,0.9,squeezenet,greedy,7211.956998623844,568.6745324924718
237,0.5,0.9,squeezenet,jade,8646.015260309247,218.63588208932396
238,0.5,0.9,squeezenet,random,9098.235152160398,306.4950657866547
239,0.5,0.9,squeezenet,shade,9053.399299188266,240.64940640848178
240,0.7,0.1,resnet,ccpso,18418.485044850837,224.13603035577083
241,0.7,0.1,resnet,clpso,18418.485044850837,224.13603035577083
242,0.7,0.1,resnet,esa,18418.485044850837,224.13603035577083
243,0.7,0.1,resnet,gl25,18418.485044850837,224.13603035577083
244,0.7,0.1,resnet,greedy,20767.878783556327,1452.3354367785164
245,0.7,0.1,resnet,jade,18418.485044850837,224.13603035577083
246,0.7,0.1,resnet,random,18418.485044850837,224.13603035577083
247,0.7,0.1,resnet,shade,18418.485044850837,224.13603035577083
248,0.7,0.1,squeezenet,ccpso,9098.235152160398,306.4950657866547
249,0.7,0.1,squeezenet,clpso,9098.235152160398,306.4950657866547
250,0.7,0.1,squeezenet,esa,9098.235152160398,306.4950657866547
251,0.7,0.1,squeezenet,gl25,9098.235152160398,306.4950657866547
252,0.7,0.1,squeezenet,greedy,10642.349281415525,882.0068895841883
253,0.7,0.1,squeezenet,jade,9098.235152160398,306.4950657866547
254,0.7,0.1,squeezenet,random,9098.235152160398,306.4950657866547
255,0.7,0.1,squeezenet,shade,9098.235152160398,306.4950657866547
256,0.7,0.3,resnet,ccpso,18418.485044850837,224.13603035577083
257,0.7,0.3,resnet,clpso,18418.485044850837,224.13603035577083
258,0.7,0.3,resnet,esa,18418.485044850837,224.13603035577083
259,0.7,0.3,resnet,gl25,18418.485044850837,224.13603035577083
260,0.7,0.3,resnet,greedy,23590.72845868772,203.83070951770836
261,0.7,0.3,resnet,jade,18418.485044850837,224.13603035577083
262,0.7,0.3,resnet,random,18418.485044850837,224.13603035577083
263,0.7,0.3,resnet,shade,18418.485044850837,224.13603035577083
264,0.7,0.3,squeezenet,ccpso,9098.235152160398,306.4950657866547
