graph_name,graph_file,source_config,phase,event,stage,candidate_label,candidate_mode,epoch,global_step,operation_index,iteration,accepted,training_end,soft_seq_makespan,threshold_lssp_static,threshold_lssp_learned_swprio,postprocess_lssp_cost,delta_from_prev,threshold_partition_valid,threshold_hw_nodes,threshold_hw_area,threshold_budget,tau,order_tau,loss,area_frac,area_penalty,selection_metric_train,selection_metric_final,notes
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,22,22.0,0,22,False,False,71.48741912841797,53.0,62.0,nan,nan,True,5,21.0,22.0,0.9604,0.9648,905.4571533203125,0.5009102821350098,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,23,23.0,0,23,False,False,72.03726959228516,45.0,45.0,nan,nan,True,4,17.0,22.0,0.9586,0.9632000000000001,42400.37109375,0.4934943914413452,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,24,24.0,0,24,False,False,58.014278411865234,46.0,46.0,nan,nan,True,5,19.0,22.0,0.9568,0.9616,2341.03955078125,0.5015092492103577,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,25,25.0,0,25,False,False,60.723793029785156,41.0,38.0,nan,nan,False,6,26.0,22.0,0.955,0.96,288028.09375,0.5169694423675537,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,26,26.0,0,26,False,False,78.48544311523438,47.0,47.0,nan,nan,True,5,20.0,22.0,0.9532,0.9584,24742.87109375,0.49503421783447266,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,27,27.0,0,27,False,False,70.99877166748047,43.0,43.0,nan,nan,False,7,28.0,22.0,0.9514,0.9568,214592.03125,0.5146463513374329,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,28,28.0,0,28,False,False,74.86296844482422,58.0,62.0,nan,nan,False,7,28.0,22.0,0.9496,0.9552,27706.0859375,0.5052559971809387,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,29,29.0,0,29,False,False,66.08525848388672,44.0,45.0,nan,nan,True,5,17.0,22.0,0.9478,0.9536,632059.0625,0.47486063838005066,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,30,30.0,0,30,False,False,67.90907287597656,40.0,40.0,nan,nan,True,4,15.0,22.0,0.946,0.952,91869.296875,0.4904189705848694,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/paper_fig3_11node/seed-42/run-20260412-142043/config/paper_fig3_11node_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,31,31.0,0,31,False,False,59.807159423828125,51.0,49.0,nan,nan,True,2,8.0,22.0,0.9442,0.9504,38989.28515625,0.4937610626220703,nan,queue,queue,per_epoch_trace
