SimTime,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,PSO_best_c1,PSO_best_c2,PSO_best_w,Random_best,Greedy_best,PSO_best,LB_Naive,SEED
2025-07-09 07:41:12,01_tosa.dot,175,0.3,5.0,10.0,0.1,0.575,0.1,1.525,1000000000.0,80243.21644664294,9313.97953067519,3954.6436014781075,420
2025-07-09 07:41:14,01_tosa.dot,175,0.3,1.0,1.0,0.3,1.05,0.1,1.525,1000000000.0,18069.302319358674,9194.072468726106,2886.004721842406,420
2025-07-09 07:41:14,01_tosa.dot,175,0.3,0.5,10.0,0.3,1.05,0.1,1.525,1000000000.0,136082.68542252737,9292.819533486987,2738.156687628057,420
2025-07-09 07:41:15,01_tosa.dot,175,0.3,0.5,1.0,0.3,1.05,0.1,1.525,1000000000.0,18141.012251282806,9214.038160062322,2738.156687628057,420
2025-07-09 07:41:15,01_tosa.dot,175,0.3,1.0,5.0,0.3,0.575,0.1,1.525,1000000000.0,70463.45357537859,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:16,01_tosa.dot,175,0.3,10.0,10.0,0.3,0.575,0.1,1.525,1000000000.0,110431.56468175906,9275.88726924343,4134.493469486406,420
2025-07-09 07:41:16,01_tosa.dot,175,0.3,0.5,5.0,0.5,0.575,0.1,1.525,49293.318601303305,56625.287264513645,9313.97953067519,2738.156687628057,420
2025-07-09 07:41:16,01_tosa.dot,175,0.3,10.0,5.0,0.3,1.05,0.1,1.525,1000000000.0,57758.015107779145,9297.60587798919,4134.493469486406,420
2025-07-09 07:41:16,01_tosa.dot,175,0.3,10.0,5.0,0.1,0.575,0.1,1.525,1000000000.0,42918.69464907262,9313.97953067519,4134.493469486406,420
2025-07-09 07:41:17,01_tosa.dot,175,0.3,5.0,5.0,0.1,0.575,0.1,1.525,1000000000.0,43607.35494134999,9313.97953067519,3954.6436014781075,420
2025-07-09 07:41:17,01_tosa.dot,175,0.3,5.0,1.0,0.1,0.575,0.1,1.525,1000000000.0,14298.66573711563,9281.829527621307,3954.6436014781075,420
2025-07-09 07:41:17,01_tosa.dot,175,0.3,5.0,0.5,0.1,0.575,0.1,1.525,1000000000.0,10635.079586586337,9149.29769433164,3954.6436014781075,420
2025-07-09 07:41:18,01_tosa.dot,175,0.3,1.0,0.5,0.1,0.575,0.1,1.525,1000000000.0,11500.71629005068,9241.554764513074,2886.004721842406,420
2025-07-09 07:41:18,01_tosa.dot,175,0.3,1.0,10.0,0.3,0.575,0.1,1.525,1000000000.0,135956.14264540342,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:18,01_tosa.dot,175,0.3,10.0,0.5,0.3,1.05,0.1,1.525,1000000000.0,10351.820491197208,9101.762845217267,4134.493469486406,420
2025-07-09 07:41:19,01_tosa.dot,175,0.3,0.5,0.5,0.1,0.575,0.1,1.525,1000000000.0,12024.322248008417,9183.612921843918,2738.156687628057,420
2025-07-09 07:41:20,01_tosa.dot,175,0.3,1.0,1.0,0.9,0.575,0.1,1.525,14750.824464370224,5448.014420107881,4717.730110382921,2886.004721842406,420
