Config,GraphName,N,Area_Percentage,HW_Scale_Factor,Seed,method,makespan,time_s,mip_makespan,gap,gap_%,ratio
config_mkspan_area_0.5_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.5,2,ccpso,7849.167054763602,3.926966190338135,3026.050890814836,1.593864854880226,159.3864854880226,2.5938648548802257
config_mkspan_area_0.5_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.5,3,ccpso,9182.197479632456,3.9397952556610103,3127.7756382010944,1.9356956961636467,193.56956961636467,2.9356956961636467
config_mkspan_area_0.5_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.7,0,ccpso,9460.764374786944,3.884198665618897,4020.079202135352,1.353377607526154,135.33776075261542,2.353377607526154
config_mkspan_area_0.5_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.7,1,ccpso,8769.553212251987,3.909126281738281,3816.4954860030457,1.2978025899452064,129.78025899452064,2.2978025899452064
config_mkspan_area_0.5_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.7,2,ccpso,8357.31276729571,3.774660587310791,3725.0450511470062,1.243546763205548,124.35467632055479,2.243546763205548
config_mkspan_area_0.5_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.7,3,ccpso,9214.558124102598,3.813134908676148,3738.746554787266,1.4646115988535906,146.46115988535905,2.4646115988535904
config_mkspan_area_0.5_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.9,0,ccpso,9466.813815823476,3.825286865234375,4698.865529235522,1.0147020077341244,101.47020077341244,2.0147020077341242
config_mkspan_area_0.5_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.9,1,ccpso,8769.553212251987,3.8269906044006343,4709.235892877849,0.8622030010250447,86.22030010250447,1.8622030010250448
config_mkspan_area_0.5_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.9,2,ccpso,8916.200013027443,3.807044267654419,4476.249261822696,0.9918908647631547,99.18908647631547,1.9918908647631546
config_mkspan_area_0.5_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.9,3,ccpso,9214.558124102598,3.818934679031372,4402.429983662133,1.0930618222887731,109.30618222887732,2.093061822288773
config_mkspan_area_0.7_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.7,0.1,0,ccpso,7184.285693886133,3.7689383029937744,668.3218204186536,9.749739832504222,974.9739832504222,10.74973983250422
config_mkspan_area_0.7_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.7,0.1,1,ccpso,8027.479276673333,4.019747257232666,642.1762405496776,11.500430208694931,1150.0430208694931,12.500430208694931
config_mkspan_area_0.7_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.7,0.1,2,ccpso,6772.846544907835,3.914740562438965,567.2496156235715,10.939799267140124,1093.9799267140124,11.939799267140122
