Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,milp,diff_gnn_with_order,diff_gnn_without_order,random_org,greedy_org,pso_org,dbpso_org,clpso_org,ccpso_org,esa_org,shade_org,jade_org,gl25_org,best_method
config_mkspan_area_0.3_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,1,3134.9503597985445,8372.238186927292,9821.275754868202,8769.553212251987,8769.553212251987,8511.219703933102,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.3_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,2,3298.588716871651,8339.042027192061,8051.402873341151,8942.015456463534,8942.015456463534,8281.905875534565,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.3_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,3,3399.0070373361177,9012.413435071318,8542.390021778043,9214.558124102598,9214.558124102598,8753.126998201536,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.3_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,0,3957.896365308934,9047.814617665212,9047.814617665212,9466.813815823476,9466.813815823476,8925.323650957263,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.3_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,1,3769.583217337472,8497.122703553918,9557.90723380908,8769.553212251987,8769.553212251987,8603.280608706353,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.3_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,2,3694.680292725442,7913.162339694628,8672.002091091874,8942.015456463534,8942.015456463534,8407.99074053611,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.3_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,3,3885.008869939899,8733.795487512176,8507.57174385008,9214.558124102598,9214.558124102598,8871.478674115957,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.3_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,0,4348.648750284236,9003.025528329003,8987.536037926684,9466.813815823476,9466.813815823476,8867.708332732738,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.3_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,1,4278.39249266635,8376.113224897204,10488.885786825676,8769.553212251987,8769.553212251987,8695.3415134796,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.3_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,2,4114.73574825049,8097.498949719792,8215.164700160647,8942.015456463534,8942.015456463534,8495.832546726435,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.3_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,3,4360.981610856496,8808.179421276125,8547.708809913089,9214.558124102598,9214.558124102598,8989.830350030377,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.3_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,0,4683.854235009131,8987.536037926684,8990.744493092796,9466.813815823476,9466.813815823476,8902.867075627551,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.3_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,1,4811.228793754074,8562.630407853472,10747.387633690276,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.3_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,2,4506.613249919866,8483.662169519957,8076.556121878702,8942.015456463534,8942.015456463534,8610.986223607903,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.3_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,3,4703.102627498241,8986.552329531154,8723.89877262342,9214.558124102598,9214.558124102598,9108.1820259448,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.5_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,0,1491.2977569847144,4920.819183250195,9079.519227027824,7639.680823372622,9466.813815823476,8557.025633089794,7985.011556007176,8349.152424914437,8117.73723535532,8462.928157768903,7417.330234699594,7280.795226870227,4904.87157861954,milp
config_mkspan_area_0.5_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,1,1421.7807731473793,4473.317598078906,4668.265311921804,8084.513063527726,8769.553212251987,8353.713126166853,7983.516449842545,8083.894798495293,8416.770840215302,7830.535076455148,7439.48653236011,7533.219900693404,4932.736395727151,milp
config_mkspan_area_0.5_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,2,1491.0787158573337,3888.448277806976,5640.990996351074,7810.182592738205,8942.015456463534,8172.679749681684,7453.825775997877,7848.506104954434,6772.846544907835,8439.375147624898,7237.800243732358,7404.103962175555,4669.146109088412,milp
config_mkspan_area_0.5_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,3,1684.289906607599,4216.417201460787,5483.330038575366,7848.417308083617,9214.558124102598,8371.346233775806,7733.019816122941,7979.874335117724,8304.419461180596,8361.828112190418,7657.204090042273,7584.739828959029,5229.587341119073,milp
config_mkspan_area_0.5_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,0,2337.783303475436,5750.281969417171,9148.233636287454,8107.779446670992,9466.813815823476,8689.339285325394,8500.363774349666,8868.556055583287,8556.38349558829,9261.686409228476,8229.937016199718,8120.620391154692,5625.646976880034,milp
