graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
anomaly_detection_tosa,tflite-graphs,68,0.5,ccpso,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,2584.715082250584,1,0,0,0,0,1.256557192132162,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,greedy,21803.940225274677,21687.064922943428,19880.599701807,23525.1366496158,20177.603135001616,23466.3209443098,10951.138294760856,10,0,0,0,0,1.9910204435739725,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,mip,16784.84153433105,16717.8434509875,14254.963655666164,19182.175446399768,14625.079057946305,18764.18685092194,9527.034102295622,10,0,0,0,0,1.7618118455445224,Valid incumbent solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,random,18287.06539075243,18363.352712558986,17487.262972229797,18889.746102382764,17690.679760564184,18806.662289886764,18287.06539075243,10,0,0,0,0,1.0,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,diff_gnn_order,5462.240855283871,5612.4613152516185,4532.798752526025,6322.839248101106,4909.673071257091,5888.512199508644,4532.57529549927,10,0,0,0,0,1.2051075821526305,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,greedy,11534.323590918793,11339.718278351556,10327.712265027534,13006.392279007683,10577.043473759324,12986.3621697862,6525.830145143948,10,0,0,0,0,1.767487558575487,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,mip,9162.766363158387,10452.684956696346,4007.572521479704,12916.687403322614,5537.339658867714,12725.226597694775,4532.57529549927,10,0,0,0,0,2.02153649212552,Valid incumbent solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,random,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,diff_gnn_order,5657.400861495837,5561.5157428667935,4590.443237624106,6542.1094349033565,5116.759436826261,6398.346279015638,5004.805285998488,10,0,0,0,0,1.1303937991999526,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,greedy,12367.917748486598,12564.663192738519,10905.693946964711,13897.520014588292,10947.059891327546,13795.173959723104,8368.2147391794,10,0,0,0,0,1.477963715555824,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,mip,10914.48248550617,10973.478233061116,9863.073512184485,12096.47826519592,10034.750622993191,11667.76216021623,5004.805285998488,10,0,0,0,0,2.180800622961432,Valid incumbent solution; no area repair needed.
